tweet.id,tweet.user.username,tweet.date,tweet.lang,tweet.rawContent,label,score
1508338035665997828,michaelnevada89,2022-03-28 06:59:45+00:00,en,"I know everyone is talking about other stuff that happened in the Oscars but just wanted to say I was super happy for Jane Campion, Kenneth Branagh, and Ariana Debose’s respective wins. The Power of the Dog, West Side Story, and Belfast were all just amazing.",positive,0.979534387588501
1508337890119467008,KeatonTyCyn,2022-03-28 06:59:11+00:00,en,ariana debose is the only one that really impacted to me,positive,0.5091927647590637
1508337690588160004,claireyeah,2022-03-28 06:58:23+00:00,en,✨academy award winner ariana debose✨,positive,0.8891687393188477
1508337649991528462,Sperocaof,2022-03-28 06:58:13+00:00,en,So Ariana DeBose wins the Oscar. I wonder what her next role will be. RE: Rita Moreno's post-Oscar movie was as native love interest in a FIlipino-shot Allied Artists WW2 B-movie produced by Eddie Romero. She didn't make another film for six years (too many stereotypical offers) https://t.co/HzGToTCqtH,neutral,0.6151459813117981
1508337438015602695,Gbkmnetwork,2022-03-28 06:57:23+00:00,en,"See the full list of films and performances at the 94th Academy Awards, including Ariana DeBose, Jessica Chastain, Troy Kotsur, Will Smith, and CODA  Click https://t.co/EBBarIdNzc to read more.  #ag5 #arianagrandevocals #grammyawards",neutral,0.7030043601989746
1508337273175089162,ChuckUF06228465,2022-03-28 06:56:44+00:00,en,"@IMDb @TroyKotsur @jes_chastain @ArianaDeBose It’s VERY telling that Smith is not in this photo! Despite his win, he embarrassed himself and his wife AND disrespected the Academy by disrupting the show with his assault on Chris Rock! Instead of taking the high road, he resorted to violence! He should be ashamed!",negative,0.886768102645874
1508337248097480709,PinkNews,2022-03-28 06:56:38+00:00,en,Ariana DeBose makes Oscars history as first queer woman of colour to win: 'There is a place for us' https://t.co/TzoEIWnbkl,positive,0.9038020372390747
1508337220989689858,Gr8TweetNTheSky,2022-03-28 06:56:31+00:00,en,@Matthew62045850 @bamaboyallday @HamiltonMusical @ArianaDeBose Def the bullet. She was an ensemble standout.,positive,0.8641948699951172
1508337140672913409,s_zenebework,2022-03-28 06:56:12+00:00,en,@Kikuyukuyu @OprahDaily @ArianaDeBose @WestSideMovie congratulation,positive,0.7795410752296448
1508337079813558273,_JamesGtfo,2022-03-28 06:55:58+00:00,en,"Good morning. I want to say a big congratulations to CODA on winning Best Pictures, Jessica Chastain, Will Smith, Ariana DeBose, Troy Kotsur and Jane Campion on their Oscar wins last night",positive,0.9797130823135376
1508336998213427200,BRADSHAWTELLER,2022-03-28 06:55:38+00:00,en,ariana debose oscar winner !!,positive,0.7708319425582886
1508336793581727745,itsaja_lynn,2022-03-28 06:54:49+00:00,en,Anyway… I’m very proud and happy for @ArianaDeBose. She deserves the world.,positive,0.9890525937080383
1508336781619572741,Backstorymom1,2022-03-28 06:54:46+00:00,en,"West Side Story’ Star Ariana DeBose Becomes the First Openly Queer Actress to Win an Oscar"" https://t.co/IXJGABNjyY",positive,0.6410033106803894
1508336768164061191,JulieAprilFan1,2022-03-28 06:54:43+00:00,en,@SchirinJ1111 @debsmeth @TheAcademy @Lin_Manuel @questlove @ArianaDeBose So true 😬😬,neutral,0.4647785723209381
1508336728486125569,image_magazine,2022-03-28 06:54:34+00:00,en,That's Oscar WINNER Ariana DeBose to you 💅 #WestSideStory #Oscars2022 https://t.co/QaZhafgILK,positive,0.9478664994239807
1508336644579110916,nadiabusiness92,2022-03-28 06:54:14+00:00,en,ALSO #ArianaDeBose just became the FIRST Afro-Latina AND openly Queer actress to win the #BestSupportingActress #Oscar 🎉🎉🎉  #RepresentationMatters #Oscars2022 #historymade #Oscars #WestSideStory https://t.co/0hTalynqWz,positive,0.9749671816825867
1508336556968394755,maxvaldes,2022-03-28 06:53:53+00:00,en,NBCNews: Ariana DeBose makes history as first Afro Latina and openly queer actor of color to win an Oscar. https://t.co/DuBJiG3xmW,positive,0.793994128704071
1508336491688308737,SchirinJ1111,2022-03-28 06:53:37+00:00,en,@JulieAprilFan1 @debsmeth @TheAcademy @Lin_Manuel @questlove @ArianaDeBose I know. It was too early on. Too much drama since then. Which is sad. All the good parts are lost…,negative,0.8095102906227112
1508336387556319232,rromano1402,2022-03-28 06:53:12+00:00,en,"This headline refers to everything about Ariana DeBose except her talent, which is presumably why she won the OSCAR!",neutral,0.48897987604141235
